Fechas,"Interbancaria, S/"
2-Jan-23,n.d.
3-Jan-23,7.52
4-Jan-23,7.61
5-Jan-23,7.65
6-Jan-23,7.53
9-Jan-23,7.5
10-Jan-23,7.5
11-Jan-23,7.5
12-Jan-23,7.5
13-Jan-23,7.75
16-Jan-23,7.75
17-Jan-23,7.75
18-Jan-23,7.75
19-Jan-23,7.75
20-Jan-23,7.75
23-Jan-23,7.75
24-Jan-23,7.75
25-Jan-23,7.75
26-Jan-23,7.75
27-Jan-23,7.75
30-Jan-23,7.75
31-Jan-23,7.73
1-Feb-23,7.77
2-Feb-23,7.75
3-Feb-23,7.83
6-Feb-23,7.75
7-Feb-23,7.75
8-Feb-23,7.75
9-Feb-23,7.75
10-Feb-23,7.75
13-Feb-23,7.75
14-Feb-23,7.75
15-Feb-23,7.75
16-Feb-23,7.75
17-Feb-23,7.75
20-Feb-23,7.75
21-Feb-23,7.75
22-Feb-23,7.75
23-Feb-23,7.86
24-Feb-23,7.75
27-Feb-23,7.75
28-Feb-23,7.75
1-Mar-23,7.75
2-Mar-23,7.75
3-Mar-23,7.75
6-Mar-23,7.74
7-Mar-23,7.75
8-Mar-23,7.73
9-Mar-23,7.75
10-Mar-23,7.73
13-Mar-23,7.75
14-Mar-23,7.75
15-Mar-23,7.75
16-Mar-23,7.75
17-Mar-23,7.75
20-Mar-23,7.75
21-Mar-23,7.75
22-Mar-23,7.75
23-Mar-23,7.75
24-Mar-23,7.75
27-Mar-23,7.75
28-Mar-23,7.75
29-Mar-23,7.75
30-Mar-23,7.75
31-Mar-23,7.75
3-Apr-23,7.75
4-Apr-23,7.75
5-Apr-23,7.75
6-Apr-23,n.d.
7-Apr-23,n.d.
10-Apr-23,7.75
11-Apr-23,7.75
12-Apr-23,7.74
13-Apr-23,7.72
14-Apr-23,7.75
17-Apr-23,7.65
18-Apr-23,7.75
19-Apr-23,7.75
20-Apr-23,7.75
21-Apr-23,7.75
24-Apr-23,7.76
25-Apr-23,7.82
26-Apr-23,7.77
27-Apr-23,7.75
28-Apr-23,7.75
1-May-23,n.d.
2-May-23,7.75
3-May-23,7.75
4-May-23,7.75
5-May-23,7.75
8-May-23,7.75
9-May-23,7.75
10-May-23,7.75
11-May-23,7.75
12-May-23,7.75
15-May-23,7.75
16-May-23,7.75
17-May-23,7.75
18-May-23,7.75
19-May-23,7.75
22-May-23,7.75
23-May-23,7.75
24-May-23,7.76
25-May-23,7.77
26-May-23,7.75
29-May-23,7.75
30-May-23,7.75
31-May-23,7.75
1-Jun-23,7.75
2-Jun-23,7.73
5-Jun-23,7.54
6-Jun-23,7.75
7-Jun-23,7.75
8-Jun-23,7.75
9-Jun-23,7.75
12-Jun-23,7.74
13-Jun-23,7.75
14-Jun-23,7.75
15-Jun-23,7.75
16-Jun-23,7.67
19-Jun-23,7.75
20-Jun-23,7.72
21-Jun-23,7.75
22-Jun-23,7.92
23-Jun-23,7.75
26-Jun-23,7.75
27-Jun-23,7.75
28-Jun-23,7.75
29-Jun-23,n.d.
30-Jun-23,7.77
3-Jul-23,7.81
4-Jul-23,7.75
5-Jul-23,7.75
6-Jul-23,7.75
7-Jul-23,7.75
10-Jul-23,7.75
11-Jul-23,7.75
12-Jul-23,7.74
13-Jul-23,7.75
14-Jul-23,7.75
17-Jul-23,7.75
18-Jul-23,7.75
19-Jul-23,7.75
20-Jul-23,7.75
