Fechas,Rendimiento del Bono del gobierno peruano a 10 (en US$)
2-Jan-23,n.d.
3-Jan-23,5.415
4-Jan-23,5.402
5-Jan-23,5.511
6-Jan-23,5.357
9-Jan-23,5.266
10-Jan-23,5.402
11-Jan-23,5.253
12-Jan-23,5.051
13-Jan-23,5.107
16-Jan-23,5.107
17-Jan-23,5.172
18-Jan-23,5.021
19-Jan-23,5.12
20-Jan-23,5.19
23-Jan-23,5.244
24-Jan-23,5.17
25-Jan-23,n.d.
26-Jan-23,n.d.
27-Jan-23,n.d.
30-Jan-23,5.195
31-Jan-23,5.171
1-Feb-23,5.078
2-Feb-23,4.941
3-Feb-23,5.054
6-Feb-23,5.158
7-Feb-23,5.191
8-Feb-23,5.184
9-Feb-23,5.277
10-Feb-23,5.386
13-Feb-23,n.d.
14-Feb-23,n.d.
15-Feb-23,5.383
16-Feb-23,5.409
17-Feb-23,7.86
20-Feb-23,n.d.
21-Feb-23,5.556
22-Feb-23,5.528
23-Feb-23,5.486
24-Feb-23,5.57
27-Feb-23,5.572
28-Feb-23,5.565
1-Mar-23,5.621
2-Mar-23,5.684
3-Mar-23,5.569
6-Mar-23,5.542
7-Mar-23,5.594
8-Mar-23,5.634
9-Mar-23,5.624
10-Mar-23,5.435
13-Mar-23,5.329
14-Mar-23,5.346
15-Mar-23,5.241
16-Mar-23,5.238
17-Mar-23,5.176
20-Mar-23,5.161
21-Mar-23,5.205
22-Mar-23,5.143
23-Mar-23,5.135
24-Mar-23,5.077
27-Mar-23,5.167
28-Mar-23,5.237
29-Mar-23,5.217
30-Mar-23,5.187
31-Mar-23,5.322
3-Apr-23,5.205
4-Apr-23,5.189
5-Apr-23,5.143
6-Apr-23,n.d.
7-Apr-23,n.d.
10-Apr-23,5.182
11-Apr-23,5.195
12-Apr-23,5.146
13-Apr-23,5.165
14-Apr-23,5.234
17-Apr-23,5.315
18-Apr-23,n.d.
19-Apr-23,n.d.
20-Apr-23,n.d.
21-Apr-23,n.d.
24-Apr-23,5.241
25-Apr-23,5.083
26-Apr-23,5.077
27-Apr-23,5.124
28-Apr-23,5.04
1-May-23,n.d.
2-May-23,5.085
3-May-23,5.033
4-May-23,5.069
5-May-23,5.116
8-May-23,5.186
9-May-23,5.202
10-May-23,5.116
11-May-23,5.048
12-May-23,5.1
15-May-23,5.154
16-May-23,5.203
17-May-23,5.232
18-May-23,5.299
19-May-23,5.319
22-May-23,5.364
23-May-23,5.374
24-May-23,5.411
25-May-23,5.451
26-May-23,5.432
29-May-23,5.432
30-May-23,5.359
31-May-23,5.333
1-Jun-23,5.228
2-Jun-23,5.265
5-Jun-23,5.301
6-Jun-23,5.303
7-Jun-23,5.403
8-Jun-23,5.32
9-Jun-23,5.336
12-Jun-23,5.299
13-Jun-23,5.297
14-Jun-23,5.264
15-Jun-23,5.213
16-Jun-23,5.238
19-Jun-23,5.238
20-Jun-23,5.186
21-Jun-23,5.178
22-Jun-23,5.182
23-Jun-23,5.157
26-Jun-23,5.15
27-Jun-23,5.17
28-Jun-23,5.166
29-Jun-23,n.d.
30-Jun-23,5.175
3-Jul-23,5.166
4-Jul-23,5.166
5-Jul-23,5.19
6-Jul-23,5.341
7-Jul-23,5.393
10-Jul-23,5.379
11-Jul-23,n.d.
12-Jul-23,n.d.
13-Jul-23,5.13
14-Jul-23,5.17
17-Jul-23,5.163
18-Jul-23,5.145
19-Jul-23,5.132
20-Jul-23,5.282
21-Jul-23,5.284
24-Jul-23,5.321
25-Jul-23,5.339
26-Jul-23,5.303
27-Jul-23,5.379
28-Jul-23,n.d.
31-Jul-23,5.298
1-Aug-23,5.37
2-Aug-23,5.444
3-Aug-23,5.558
4-Aug-23,5.472
7-Aug-23,5.504
8-Aug-23,5.421
9-Aug-23,5.377
10-Aug-23,5.424
11-Aug-23,5.468
14-Aug-23,5.53
15-Aug-23,5.643
16-Aug-23,5.712
17-Aug-23,5.789
18-Aug-23,5.784
21-Aug-23,5.875
22-Aug-23,5.832
23-Aug-23,5.673
24-Aug-23,5.685
25-Aug-23,5.687
28-Aug-23,5.644
29-Aug-23,5.544
30-Aug-23,n.d.
31-Aug-23,5.458
1-Sep-23,5.496
4-Sep-23,5.496
5-Sep-23,5.631
6-Sep-23,5.704
7-Sep-23,5.707
8-Sep-23,5.693
11-Sep-23,5.743
12-Sep-23,5.76
13-Sep-23,5.73
14-Sep-23,5.751
15-Sep-23,5.779
18-Sep-23,5.79
19-Sep-23,5.8
20-Sep-23,5.762
21-Sep-23,5.958
22-Sep-23,5.884
25-Sep-23,6
26-Sep-23,6.061
27-Sep-23,6.142
28-Sep-23,6.125
29-Sep-23,6.135
2-Oct-23,6.248
3-Oct-23,6.404
4-Oct-23,6.382
5-Oct-23,6.339
6-Oct-23,6.384
9-Oct-23,6.384
10-Oct-23,6.158
11-Oct-23,6.099
12-Oct-23,6.183
13-Oct-23,6.129
16-Oct-23,6.198
17-Oct-23,6.307
18-Oct-23,6.377
19-Oct-23,6.495
20-Oct-23,6.454
23-Oct-23,6.384
24-Oct-23,6.323
25-Oct-23,6.428
26-Oct-23,6.354
27-Oct-23,6.348
30-Oct-23,6.353
31-Oct-23,6.372
1-Nov-23,n.d.
2-Nov-23,6.079
3-Nov-23,5.938
6-Nov-23,6.082
7-Nov-23,6.06
8-Nov-23,6.032
9-Nov-23,6.154
10-Nov-23,6.149
13-Nov-23,6.203
14-Nov-23,5.971
15-Nov-23,6.033
16-Nov-23,5.972
17-Nov-23,5.939
20-Nov-23,5.89
21-Nov-23,5.86
22-Nov-23,5.827
23-Nov-23,5.827
24-Nov-23,5.845
27-Nov-23,5.787
28-Nov-23,5.733
29-Nov-23,5.57
30-Nov-23,5.585
1-Dec-23,5.454
4-Dec-23,5.467
5-Dec-23,5.399
6-Dec-23,5.305
7-Dec-23,5.363
8-Dec-23,n.d.
11-Dec-23,5.485
12-Dec-23,5.475
13-Dec-23,5.334
14-Dec-23,5.139
15-Dec-23,5.111
18-Dec-23,5.149
19-Dec-23,5.114
20-Dec-23,5.074
21-Dec-23,5.082
22-Dec-23,5.089
25-Dec-23,n.d.
26-Dec-23,5.084
27-Dec-23,5.031
28-Dec-23,5.051
29-Dec-23,5.068
