Fechas,Tipo de cambio Interbancario - Venta
2-Jan-23,n.d.
3-Jan-23,3.817333333
4-Jan-23,3.825666667
5-Jan-23,3.826833333
6-Jan-23,3.8025
9-Jan-23,3.795333333
10-Jan-23,3.8035
11-Jan-23,3.780333333
12-Jan-23,3.783666667
13-Jan-23,3.810833333
16-Jan-23,3.827
17-Jan-23,3.842
18-Jan-23,3.835833333
19-Jan-23,3.8625
20-Jan-23,3.856833333
23-Jan-23,3.875166667
24-Jan-23,3.890166667
25-Jan-23,3.899
26-Jan-23,3.861666667
27-Jan-23,3.829333333
30-Jan-23,3.857
31-Jan-23,3.847833333
1-Feb-23,3.846
2-Feb-23,3.831166667
3-Feb-23,3.848833333
6-Feb-23,3.851166667
7-Feb-23,3.846
8-Feb-23,3.858333333
9-Feb-23,3.865333333
10-Feb-23,3.854666667
13-Feb-23,3.852166667
14-Feb-23,3.860666667
15-Feb-23,3.863166667
16-Feb-23,3.864666667
17-Feb-23,3.845166667
20-Feb-23,3.845
21-Feb-23,3.834833333
22-Feb-23,3.821666667
23-Feb-23,3.803
24-Feb-23,3.821166667
27-Feb-23,3.812166667
28-Feb-23,3.804666667
1-Mar-23,3.776
2-Mar-23,3.786166667
3-Mar-23,3.784166667
6-Mar-23,3.7855
7-Mar-23,3.788833333
8-Mar-23,3.791666667
9-Mar-23,3.788166667
10-Mar-23,3.782666667
13-Mar-23,3.802833333
14-Mar-23,3.788833333
15-Mar-23,3.809166667
16-Mar-23,3.794166667
17-Mar-23,3.795166667
20-Mar-23,3.779333333
21-Mar-23,3.770333333
22-Mar-23,3.772333333
23-Mar-23,3.767
24-Mar-23,3.7732
27-Mar-23,3.7685
28-Mar-23,3.7655
29-Mar-23,3.756333333
30-Mar-23,3.759333333
31-Mar-23,3.762833333
3-Apr-23,3.768
4-Apr-23,3.772833333
5-Apr-23,3.772
6-Apr-23,n.d.
7-Apr-23,n.d.
10-Apr-23,3.781
11-Apr-23,3.7845
12-Apr-23,3.776
13-Apr-23,3.775666667
14-Apr-23,3.781833333
17-Apr-23,3.7835
18-Apr-23,3.778333333
19-Apr-23,3.7785
20-Apr-23,3.764833333
21-Apr-23,3.7635
24-Apr-23,3.758166667
25-Apr-23,3.756
26-Apr-23,3.746833333
27-Apr-23,3.731
28-Apr-23,3.714333333
1-May-23,n.d.
2-May-23,3.709833333
3-May-23,3.707833333
4-May-23,3.719333333
5-May-23,3.713166667
8-May-23,3.706
9-May-23,3.697833333
10-May-23,3.6735
11-May-23,3.678333333
12-May-23,3.656
15-May-23,3.663333333
16-May-23,3.685333333
17-May-23,3.695666667
18-May-23,3.7025
19-May-23,3.690666667
22-May-23,3.692166667
23-May-23,3.694
24-May-23,3.687666667
25-May-23,3.695
26-May-23,3.6725
29-May-23,3.674333333
30-May-23,3.6745
31-May-23,3.6795
1-Jun-23,3.683666667
2-Jun-23,3.686666667
5-Jun-23,3.678666667
6-Jun-23,3.690333333
7-Jun-23,3.670333333
8-Jun-23,3.657333333
9-Jun-23,3.645833333
12-Jun-23,3.654
13-Jun-23,3.646166667
14-Jun-23,3.65
15-Jun-23,3.651166667
16-Jun-23,3.635666667
19-Jun-23,3.635833333
20-Jun-23,3.645333333
21-Jun-23,3.6425
22-Jun-23,3.637333333
23-Jun-23,3.633333333
26-Jun-23,3.641333333
27-Jun-23,3.637666667
28-Jun-23,3.633
29-Jun-23,n.d.
30-Jun-23,3.627166667
3-Jul-23,3.627
4-Jul-23,3.628833333
5-Jul-23,3.632
6-Jul-23,3.647
7-Jul-23,3.640833333
10-Jul-23,3.639666667
11-Jul-23,3.631833333
12-Jul-23,3.588166667
13-Jul-23,3.572
14-Jul-23,3.563833333
17-Jul-23,3.562666667
18-Jul-23,3.5575
19-Jul-23,3.579833333
20-Jul-23,3.587833333
21-Jul-23,3.587166667
24-Jul-23,3.588833333
25-Jul-23,3.603
26-Jul-23,3.599333333
27-Jul-23,3.596833333
28-Jul-23,n.d.
31-Jul-23,3.611166667
1-Aug-23,3.638333333
2-Aug-23,3.662333333
3-Aug-23,3.698
4-Aug-23,3.691166667
7-Aug-23,3.691666667
8-Aug-23,3.709
9-Aug-23,3.693666667
10-Aug-23,3.674333333
11-Aug-23,3.6845
14-Aug-23,3.7045
15-Aug-23,3.718666667
16-Aug-23,3.715333333
17-Aug-23,3.724666667
18-Aug-23,3.72
21-Aug-23,3.72
22-Aug-23,3.727833333
23-Aug-23,3.710833333
24-Aug-23,3.6987
25-Aug-23,3.693
28-Aug-23,3.696
29-Aug-23,3.693666667
30-Aug-23,n.d.
31-Aug-23,3.694666667
1-Sep-23,3.691666667
4-Sep-23,3.691833333
5-Sep-23,3.705166667
6-Sep-23,3.705833333
7-Sep-23,3.712166667
8-Sep-23,3.716
11-Sep-23,3.700666667
12-Sep-23,3.707
13-Sep-23,3.703666667
14-Sep-23,3.710833333
15-Sep-23,3.722833333
18-Sep-23,3.709166667
19-Sep-23,3.713333333
20-Sep-23,3.717166667
21-Sep-23,3.742333333
22-Sep-23,3.748833333
25-Sep-23,3.773833333
26-Sep-23,3.784833333
27-Sep-23,3.800333333
28-Sep-23,3.804833333
29-Sep-23,3.792833333
2-Oct-23,3.800333333
3-Oct-23,3.813333333
4-Oct-23,3.8145
5-Oct-23,3.822833333
6-Oct-23,3.829333333
